descripcion,codigo,html
day-sunny,f00d,"<i class=""wi wi-day-sunny""></i>"
day-cloudy,f002,"<i class=""wi wi-day-cloudy""></i>"
day-cloudy-gusts,f000,"<i class=""wi wi-day-cloudy-gusts""></i>"
day-cloudy-windy,f001,"<i class=""wi wi-day-cloudy-windy""></i>"
day-fog,f003,"<i class=""wi wi-day-fog""></i>"
day-hail,f004,"<i class=""wi wi-day-hail""></i>"
day-haze,f0b6,"<i class=""wi wi-day-haze""></i>"
day-lightning,f005,"<i class=""wi wi-day-lightning""></i>"
day-rain,f008,"<i class=""wi wi-day-rain""></i>"
day-rain-mix,f006,"<i class=""wi wi-day-rain-mix""></i>"
day-rain-wind,f007,"<i class=""wi wi-day-rain-wind""></i>"
day-showers,f009,"<i class=""wi wi-day-showers""></i>"
day-sleet,f0b2,"<i class=""wi wi-day-sleet""></i>"
day-sleet-storm,f068,"<i class=""wi wi-day-sleet-storm""></i>"
day-snow,f00a,"<i class=""wi wi-day-snow""></i>"
day-snow-thunderstorm,f06b,"<i class=""wi wi-day-snow-thunderstorm""></i>"
day-snow-wind,f065,"<i class=""wi wi-day-snow-wind""></i>"
day-sprinkle,f00b,"<i class=""wi wi-day-sprinkle""></i>"
day-storm-showers,f00e,"<i class=""wi wi-day-storm-showers""></i>"
day-sunny-overcast,f00c,"<i class=""wi wi-day-sunny-overcast""></i>"
day-thunderstorm,f010,"<i class=""wi wi-day-thunderstorm""></i>"
day-windy,f085,"<i class=""wi wi-day-windy""></i>"
solar-eclipse,f06e,"<i class=""wi wi-solar-eclipse""></i>"
hot,f072,"<i class=""wi wi-hot""></i>"
day-cloudy-high,f07d,"<i class=""wi wi-day-cloudy-high""></i>"
day-light-wind,f0c4,"<i class=""wi wi-day-light-wind""></i>"
